Работа с текстом
Хоткей	Описание
ctrl+l	Выделить строку.
ctrl+shift+m	Выделить текст между двумя парными скобками.
ctrl+shift+a	Выделить текст между двумя парными тегами.
ctrl+shift+j	Выделить текст с соответствующим отступом.
ctrl+shift+space	Выделить по контексту.
ctrl+shift+left	Выделить слово слева.
ctrl+shift+right	Выделить слово справа.
ctrl+a	Выделить весь текст.
ctrl+shift+l	Разделить выделенные строки на независимые участки редактирования.
ctrl+shift+up	Переместить выделенные строки вверх.
ctrl+shift+down	Переместить выделенные строки вниз.
ctrl+shift+d	Дублировать строку.
ctrl+shift+k	Удалить строку.
ctrl+backspace	Удалить часть слова до курсора.
ctrl+delete	Удалить часть слова после курсора.
ctrl+shift+backspace	Удалить текст от курсора и до начала строки.
ctrl+k, ctrl+backspace	Удалить текст от курсора и до начала строки.
ctrl+shift+delete	Удалить текст от курсора и до конца строки.
ctrl+k, ctrl+k	Удалить текст от курсора и до конца строки.
ctrl+j	Объединить выделенные строки.
alt+q	Объединить строки в параграфе.
ctrl+enter	Добавить пустую строку под курсором.
ctrl+shift+enter	Добавить пустую строку над курсором.
ctrl+alt+up	Добавить курсор на следующей или предыдущей строке.
ctrl+alt+down	Добавить курсор на следующей или предыдущей строке.
ctrl+/	Добавить или убрать однострочный комментарий.
ctrl+shift+/	Добавить или убрать блочный комментарий.
f9	Отсортировать строки в алфавитном порядке.
ctrl+f9	Отсортировать строки в алфавитном порядке с учетом регистра.
ctrl+k, ctrl+l	Трансформировать выделенный текст в нижний регистр.
ctrl+k, ctrl+u	Трансформировать выделенный текст в верхний регистр.
ctrl+t	Транспонировать текст.
alt+.	Закрыть незакрытый тег.
alt+shift+w	Обернуть тегом выделенный текст.
insert	Переключить режим ввода: вставка или замена.
ctrl+k, ctrl+space	Установить метку.
ctrl+k, ctrl+a	Выделить текст от курсора до метки.
ctrl+k, ctrl+x	Поменять местами метку и курсор.
ctrl+k, ctrl+w	Удалить метку.
ctrl+k, ctrl+g	Удалить все метки.
ctrl+]	Убрать отступ.
ctrl+[	Добавить отступ.
ctrl+y	Повторить последнее действие.
ctrl+c or ctrl+insert	Копировать.
ctrl+v or shift+insert	Вставить.
ctrl+shift+v	Вставить с отступом.
ctrl+x	Вырезать.
shift+delete	Вырезать.
ctrl+z	Отмена последнего действия.
ctrl+shift+z	Повторить последнее отмененное действие.
ctrl+u	Отменить последнее выделение.
ctrl+shift+u	Повторить последнее отмененное выделение.
